filepath,year,month,day,language
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169103.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169006.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169118.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169109.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169124.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169041.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169123.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169104.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168962.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169040.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169089.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168941.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168992.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168971.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168976.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168943.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0169054.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168956.xml,1988,08,08,English
/media/hd/Documents/IQSS/NYtimes sample/1988/08/08/0168942.xml,1988,08,08,English
